,Unnamed: 0,Datetime,Tweet Id,Text,Username,label,Text_token
0,0,2022-02-21 23:59:59+00:00,1495911210067558403,alert england uk scraps all covid restrictions people living in england would no longer need to isolate after testing positive for covid from feb country england uk visit us at https t co s rerhiqz https t co x rvjw ywz,worisgo global,1,alert england uk scraps covid restrictions people living england would longer need isolate testing positive covid feb country england uk visit us https co rerhiqz https co x rvjw ywz
1,1,2022-02-21 23:59:59+00:00,1495911209106907139,the pandemic was essential to introducing the metaverse concept in even as covid restrictions ease people have continued to rely on digital tools for these interactions normalizing this form of socialization is a crucial aspect to the success of the metaverse,jeffkav,1,pandemic essential introducing metaverse concept even covid restrictions ease people continued rely digital tools interactions normalizing form socialization crucial aspect success metaverse
2,2,2022-02-21 23:59:58+00:00,1495911205545914369,bayern forward muller tests positive for covid for a second time https t co cdetrf opp,iscorers,1,bayern forward muller tests positive covid second time https co cdetrf opp
3,7,2022-02-21 23:59:52+00:00,1495911177356029966,sky dvr bilked thebrink tnirishlass on the bright side looks like the cdc is going down over withholding data re covid and hopefully away ,sexton cecilia,1,sky dvr bilked thebrink tnirishlass bright side looks like cdc going withholding data covid hopefully away
4,9,2022-02-21 23:59:46+00:00,1495911152643198976,lol an issue not incompetence n w t gov t says issue caused covid death reporting delay cbc news https t co o plsq qsl,arlenehache,1,lol issue incompetence n w gov says issue caused covid death reporting delay cbc news https co plsq qsl
5,11,2022-02-21 23:59:40+00:00,1495911128303648769, latest updates from ideas https t co fwivybnoy disability royal commission covid rules change infoqore directory music therapy subscribe to ideas enews https t co awogdu sy enews disability disabilityrc drc covid nsw musictherapy infoqore https t co dkv hocynl,ideasau,1,latest updates ideas https co fwivybnoy disability royal commission covid rules change infoqore directory music therapy subscribe ideas enews https co awogdu sy enews disability disabilityrc drc covid nsw musictherapy infoqore https co dkv hocynl
6,16,2022-02-21 23:59:23+00:00,1495911059399614476,over k people in canada are undocumented and denied basic rights it includes those working on covid frontlines our families are separated or live in fear of detention and deportation tell pm justintrudeau to ensure statusforall join us https t co y kjmbysef https t co xrypxpm d,mwaccanada,1,k people canada undocumented denied basic rights includes working covid frontlines families separated live fear detention deportation tell pm justintrudeau ensure statusforall join us https co kjmbysef https co xrypxpm
7,18,2022-02-21 23:59:23+00:00,1495911057419821061,rortymcsnorty nunyabzns djttracker cool story bro now do the vaccines for measles mumps rubella and polio and so on which were all given out for free and were totally transparent btw us taxpayers funded research development of covid vaccine so there should be transparency with what s going in us,billyengland,1,rortymcsnorty nunyabzns djttracker cool story bro vaccines measles mumps rubella polio given free totally transparent btw us taxpayers funded research development covid vaccine transparency going us
8,26,2022-02-21 23:58:53+00:00,1495910932177903620,according to osamu hotta of the japanese focal inflammation related disease research group many patients with covid aftereffects have acute chronic epipharyngitis swelling in the back of the nose and throat,lauramiers,1,according osamu hotta japanese focal inflammation related disease research group many patients covid aftereffects acute chronic epipharyngitis swelling back nose throat
9,34,2022-02-21 23:58:42+00:00,1495910887617617928,victoriancho wikipedia page is full of lies and absurdity covid fx trot https t co ey sxsry ,crito ,1,victoriancho wikipedia page full lies absurdity covid fx trot https co ey sxsry
10,35,2022-02-21 23:58:42+00:00,1495910885700759554, star rating available on over products stickers tshirts pillows mugs masks https t co xyrhlmnmi tshirt covid ,pastexpiry,1,star rating available products stickers tshirts pillows mugs masks https co xyrhlmnmi tshirt covid
11,37,2022-02-21 23:58:39+00:00,1495910872128303105,que hacer si la vacuna contra covid me provoca alguna reacción en algunos casos es normal experimentar efectos secundarios leves los cuales indican que el organismo está creando protección contra el coronavirus https t co nhu nuvk x,carlosmartinh,1,que hacer si la vacuna contra covid provoca alguna reacci n en algunos casos es normal experimentar efectos secundarios leves los cuales indican que el organismo est creando protecci n contra el coronavirus https co nhu nuvk x
12,38,2022-02-21 23:58:37+00:00,1495910866017005574,repcawthorn really about have died from covid in your district thats nc if youve forgotten further proof that you dont care about anyone except yourself your corporate overlords and whomever is in charge of your many grifts firemadison https t co lq hkj chp,wnc politico,1,repcawthorn really died covid district thats nc youve forgotten proof dont care anyone except corporate overlords whomever charge many grifts firemadison https co lq hkj chp
13,49,2022-02-21 23:58:11+00:00,1495910753718738948,todays top news in bali ppkm java bali extended to feb bali offers quarantine options for tourists foreigners arrive at bali airport feb minister says quarantine free entry from april more covid covid indonesia pakaimasker https t co cvsgeycntg,thebalibeat,1,todays top news bal ppkm java bal extended feb bal offers quarantine options tourists foreigners arrive bal airport feb mister says quarantine free entry april covid covid indonesia pakaimasker https co cvsgeycntg
14,52,2022-02-21 23:58:08+00:00,1495910743367114753,feel free to bookmark this as it won t age well covid ,auntiejo ,1,feel free bookmark age well covid
15,58,2022-02-21 23:58:01+00:00,1495910713793327104,baptisms during covid a wild guess but i would say it has to be the usa covid https t co w okib mj,tommy cents,1,baptisms covid wild guess would say usa covid https co w okib mj
16,62,2022-02-21 23:57:48+00:00,1495910661246930945,we are so sorry to the families and loved ones of the two people who have died as a result of covid please see below for today s full update,premierofnl,1,sorry families loved ones two people died result covid please see today full update
17,69,2022-02-21 23:57:36+00:00,1495910607685619715,alisonbalsom been listening to you playing this afternoon as an inspiration for this old lady to make sure i get practice in nothing grande just playing in a local community band which was great before covid ,shultz pa,1,alisonbalsom listening playing afternoon inspiration old lady make sure get practice nothing grande playing local community band great covid
18,74,2022-02-21 23:57:29+00:00,1495910579726393345,when will life return to normal this is the question we scientists in singapore and experts around the world studying covid are almost always https t co oldbhqdkki,frankgerechter,1,life return normal question scientists singapore experts around world studying covid almost always https co oldbhqdkki
19,80,2022-02-21 23:57:24+00:00,1495910559539412998,and again for those who didnt hear the first time covid springst,jvedmond,1,didnt hear first time covid springst
20,87,2022-02-21 23:57:10+00:00,1495910500395360258,new trinidad tobago attorney general faris al rawi tests positive for covid will continue to execute his duties as he remains in quarantine https t co psguwumu m,kevzpolitics,1,new trinidad tobago attorney general faris al rawi tests positive covid continue execute duties remains quarantine https co psguwumu
21,94,2022-02-21 23:57:00+00:00,1495910459047911424,these assholes are hiding the information cdc isn t publishing large portions of the covid data it collects https t co c mputchgk,icklemetickleme,1,assholes hiding information cdc publishing large portions covid data collects https co c mputchgk
22,101,2022-02-21 23:56:50+00:00,1495910415049580546,we are so sorry to the families and loved ones of the two people who have died as a result of covid please see below for today s full update,fureyandrew,1,sorry families loved ones two people died result covid please see today full update
23,104,2022-02-21 23:56:47+00:00,1495910404861661191,borisjohnson although the rate of infection in the uk is decreasing the number of deaths is still increasing and near the peak the premise is that there is no new covid mutation but with the current infection rate the new mutation should be on the way,caitank,1,borisjohnson although rate infection uk decreasing number deaths still increasing near peak premise new covid mutation current infection rate new mutation way
24,106,2022-02-21 23:56:43+00:00,1495910384728956931,eddyelfenbein the benefits deriving from social distancing may be the commonality but otherwise it s not that far of a leap from covid to slavic ,theacsman,1,eddyelfenbein benefits deriving social distancing may commonality otherwise far leap covid slavic
25,128,2022-02-21 23:56:03+00:00,1495910220828188680,the supreme court decided not to intervenefor the time beingin the case of a san diego high school student with natural immunity who claims that the local school districts covid vaccination mandate imposed on students aged and older https t co hdjgrchnjt,izzorv ,1,supreme court decided intervenefor time beingin case san ego high school student natural immunity claims local school districts covid vaccination mandate imposed students aged older https co hdjgrchnjt
26,129,2022-02-21 23:56:01+00:00,1495910208480153603,updated vax schedule covid vaccinations boosters for everyone over age available in newark orangenj and belleville no appointment necessary free covid testing available every monday at first street newark from pm pm https t co rweg hwvsc,lacasanwk,1,updated vax schedule covid vaccinations boosters everyone age available newark orangenj belleville appointment necessary free covid testing available every monday first street newark pm pm https co rweg hwvsc
27,131,2022-02-21 23:55:59+00:00,1495910202318950400,robertamnesia donald j putin if the wuhan institute of virology had been able to implant a reverse transcriptase enzyme into the first covid then it would have become a retrovirus like h i v imagine a virulent highly contagious disease that is transmitted by droplets that s the real doomsday scenario,stephencrane ,1,robertamnesia donald j putin wuhan institute virology able implant reverse transcriptase enzyme first covid would become retrovirus like h v imagine virulent highly contagious disease transmitted droplets real doomsday scenario
28,134,2022-02-21 23:55:53+00:00,1495910178952253446,the medical profession endorsed the slavemask lockdowns social distancing but no viable medical treatments for covid what do doctors know medicine,jackknifejockey,1,medical profession endorsed slavemask lockdowns social distancing viable medical treatments covid doctors know medicine
29,138,2022-02-21 23:55:46+00:00,1495910147167768578,nzekiev currently home covid spoilt alot of things but you see their full names i go find am if na city i know the cities,enyiimmiri,1,nzekiev currently home covid spoilt alot things see full names go find na city know cities
30,139,2022-02-21 23:55:45+00:00,1495910142856081410,presidente nitocortizo llevemos a nuestros niños a recibir su dosis de esperanza es vital estar protegidos para el regreso clases estamos habilitando esta semana los centros de salud de panamá centro para la aplicación de la vacuna contra el covid https t co kz y fu mv,radiopanama,1,presidente nitocortizo llevemos nuestros ni os recibir su dosis de esperanza es vital estar protegidos el regreso clases estamos habilitando esta mana los centros de salud de panam centro la aplicaci n de la vacuna contra el covid https co kz fu mv
31,140,2022-02-21 23:55:42+00:00,1495910129208033281,covid high court asks maharashtra government to withdraw order on train travel curbs https t co uljrjfdnzc,toicitiesnews,1,covid high court asks maharashtra government withdraw order train travel curbs https co uljrjfdnzc
32,141,2022-02-21 23:55:41+00:00,1495910124581494789,covid health nearly one out of every people in the us died from coronavirus in that s people covid usdeathsrace https t co kmmclo https t co fufucz ydx,bettycjung,1,covid health nearly one every people us died coronavirus people covid usdeathsrace https co kmmclo https co fufucz ydx
33,152,2022-02-21 23:55:16+00:00,1495910022106296326,jainecurley thephoenix sidibongo bhav shah chrischirp err it doesn t today s data shows people in icu and people were in hospital with covid in england up to of patients with covid are primarily in for other reasons in wales it is around ,robertsong,1,jainecurley thephoenix sidibongo bhav shah chrischirp err today data shows people icu people hospital covid england patients covid primarily reasons wales around
34,156,2022-02-21 23:55:09+00:00,1495909991110356995,you gotta love hawaii it is the only state holding onto its mask mandate forty nine states have announced plans to drop their indoor mask mandates as covid cases and hospitalizations steadily decline weve been on this ride before bleh,b malmet,1,got ta love hawaii state holding onto mask mandate forty nine states announced plans drop indoor mask mandates covid cases hospitalizations steadily decline weve ride bleh
